Name,Rad,Lat,Lon
Olbers D,50.015,10.23,-78.03
Schuster,50.04,4.44,146.42
Gilbert,50.125,-3.2,76.16
Cabeus,50.29,-85.33,-42.13
Kovalevskaya Q,50.315,29.18,-131.44
Pitatus,50.315,-29.88,-13.53
Plato,50.34,51.62,-9.38
Ventris,50.37,-4.77,157.97
Wilhelm,50.415,-43.21,-20.94
Fridman,50.725,-12.48,-126.88
Yablochkov,50.745,60.78,127.58
Doppler,50.895,-12.58,-159.84
Gartner,50.895,59.24,34.76
Eotvos,50.9,-35.61,134.43
Leeuwenhoek E,51.055,-28.51,-176.27
Bolyai,51.11,-33.85,126.12
Vasco da Gama P,51.27,12,-80.34
Piazzi,51.285,-36.16,-68.01
Seyfert,51.315,29.26,114.34
Philolaus G,51.34,69.18,-23.82
Al-Khwarizmi G,51.415,6.76,107.35
Casatus,51.425,-72.7,-30.75
Saha,51.67,-1.69,103.04
Russell,51.685,26.51,-75.55
Amundsen,51.695,-84.44,83.07
Wyld,51.7,-1.42,98.1
Lundmark,51.72,-38.87,152.56
Lamb,51.775,-42.67,100.94
Boussingault E,52.045,-67.08,46.64
Firsov S,52.085,3.34,110.27
Fitzgerald,52.105,26.67,-172.14
Phillips,52.105,-26.57,75.67
Rocca W,52.325,-10.26,-66.52
Langemak,52.38,-9.93,119.45
Anderson,52.665,15.5,170.79
Numerov,52.695,-70.52,-162.2
Buffon,52.88,-40.64,-133.53
Blancanus,52.91,-63.77,-21.63
Fizeau,53.54,-58.19,-134.11
van't Hoff,53.65,61.75,-132.68
Minkowski,53.755,-56.13,-145.8
Scott,53.91,-82.35,48.52
Amici M,53.955,-11.81,-172.02
Ostwald,54.065,10.24,121.95
Pascal,54.1,74.36,-70.63
Levi-Civita,54.115,-23.34,143.14
Hermite,54.32,86.17,-93.32
Repsold,54.325,51.31,-78.41
H. G. Wells,54.45,40.84,122.63
Maxwell,54.62,29.9,98.53
Sternfeld,54.9,-19.75,-142.27
Charlier,54.94,36.22,-131.69
Scheiner,55.035,-60.35,-27.81
Helmholtz,55.08,-68.64,65.34
Alphonsus,55.27,-13.39,-2.85
Kurchatov,55.48,38.3,141.74
Gassendi,55.695,-17.55,-39.96
Alden,55.72,-23.51,111.11
Rumford T,55.835,-28.54,-172.15
Stefan,56.09,46.33,-108.77
Flamsteed P,56.12,-3.25,-44.25
Van der Waals,56.685,-43.56,119.98
Wiener,56.695,40.9,146.51
Hommel,56.8,-54.74,32.93
Kovalevskaya,56.855,30.86,-129.44
Rayleigh,56.885,29.12,89.45
Thomson M,56.915,-35.98,166.44
