Diameter (km),Latitude,Longitude
3000.00,14.70,304.00
1400.00,32.20,220.10
610.00,45.00,226.00
287.00,50.50,351.80
210.00,-63.50,3.00
200.00,-56.50,337.70
125.00,10.20,193.80
115.30,49.00,115.00
114.00,45.20,16.40
111.70,5.60,44.00
103.20,41.50,145.40
102.00,-29.90,192.80
101.50,-1.30,113.00
99.00,28.80,232.40
96.00,-9.90,137.30
93.50,-38.60,277.30
91.80,10.00,322.10
86.70,-47.80,296.50
86.00,-37.50,314.50
85.30,49.10,340.00
85.00,-3.60,145.70
81.10,-33.70,99.10
81.00,72.60,41.30
80.80,-30.90,279.40
80.70,55.50,334.60
80.00,15.50,355.70
79.00,51.50,260.30
78.60,56.60,347.40
78.00,-24.20,154.40
78.00,12.10,166.60
77.30,45.30,307.50
76.50,69.10,270.80
76.00,-11.80,355.20
75.80,-2.30,4.50
75.70,28.80,341.00
75.60,-50.10,267.10
75.40,42.70,225.50
75.20,33.30,264.50
75.10,-54.70,274.30
73.10,-5.80,38.60
72.80,-22.10,10.60
72.50,70.80,115.40
72.20,25.00,44.90
72.00,-50.80,89.90
70.00,22.70,258.60
69.50,55.90,224.40
69.00,-31.50,289.50
68.80,51.80,35.90
68.70,44.80,193.50
68.10,43.90,251.80
68.00,28.90,348.30
67.40,43.20,349.10
66.20,30.70,264.70
66.00,62.30,87.50
64.00,-76.80,269.10
63.00,71.10,127.50
62.70,-31.90,293.30
62.70,39.50,201.50
62.10,65.30,36.70
62.00,18.30,354.60
61.80,75.50,299.30
61.60,-47.70,277.60
61.10,64.60,255.30
60.90,-85.60,292.50
60.60,33.90,324.10
60.40,42.30,243.10
59.80,-56.40,290.30
59.80,61.50,256.10
59.60,55.60,44.40
59.50,30.60,218.60
59.00,22.30,36.10
59.00,-45.40,354.10
58.90,74.00,251.90
58.50,58.90,242.00
58.50,31.40,195.70
58.00,-53.60,285.90
57.00,39.80,269.90
57.00,53.70,343.80
56.90,-1.50,314.00
55.60,35.40,181.80
55.60,62.60,279.80
55.40,57.30,40.30
55.00,79.80,8.30
54.80,41.40,257.60
54.80,-66.00,263.50
54.30,9.70,34.70
54.10,63.10,188.50
53.90,-45.80,256.20
52.20,-3.50,2.00
52.20,30.10,251.40
51.60,67.00,270.90
