Diameter (km),Latitude,Longitude
280.00,-10.77,123.99
260.00,-42.58,292.48
170.00,-45.66,249.24
155.00,39.20,4.29
140.00,43.02,95.12
135.00,39.90,65.73
129.28,-70.36,38.34
126.00,24.30,138.23
126.00,-62.24,354.00
122.00,-58.58,131.20
116.00,43.24,195.70
115.00,4.90,264.30
103.00,-40.80,194.19
102.00,17.71,325.35
96.00,-10.09,178.83
92.00,-44.21,76.40
92.00,19.82,239.33
86.00,-48.32,155.95
80.00,30.81,86.16
80.00,57.00,258.81
78.70,36.54,146.22
77.00,18.28,193.79
77.00,58.03,71.67
72.00,42.82,222.43
70.00,11.23,94.06
69.00,-24.08,21.25
68.00,29.15,312.11
68.00,76.56,30.76
68.00,14.13,89.22
68.00,3.21,348.71
66.00,67.90,284.74
64.00,-20.70,200.50
60.00,-48.14,8.43
60.00,59.50,252.31
60.00,-31.31,178.22
60.00,-60.86,79.44
58.00,36.50,314.70
58.00,-48.07,46.20
56.00,83.03,319.88
53.40,52.93,45.52
50.00,33.84,45.61
49.91,-6.66,218.40
47.00,-3.66,33.93
44.00,-19.34,17.31
41.50,75.90,223.20
40.00,25.82,65.96
40.00,-16.08,357.71
40.00,31.80,155.10
40.00,49.93,233.73
40.00,30.30,263.26
40.00,-66.42,255.05
39.00,10.87,191.04
38.38,-3.21,61.63
37.80,-6.53,228.83
37.00,-13.92,11.79
36.04,-33.71,356.25
36.00,-29.82,352.20
36.00,-32.35,88.38
35.80,23.43,97.68
34.00,5.80,10.77
34.00,18.30,124.50
34.00,-19.82,88.59
32.50,69.00,28.10
32.00,33.20,293.09
32.00,36.23,301.04
31.50,23.80,294.60
31.00,1.74,93.21
31.00,-69.20,2.30
31.00,-15.37,36.99
31.00,23.20,335.60
29.70,65.03,159.42
29.20,51.42,27.75
28.00,-25.95,37.96
26.40,6.19,220.54
26.00,-10.71,124.87
26.00,-39.44,173.20
25.00,-6.59,44.79
24.00,45.33,287.31
23.00,42.56,37.80
22.70,56.66,93.21
22.00,-73.07,257.84
22.00,52.09,125.27
22.00,-54.00,272.30
22.00,58.90,333.02
22.00,50.76,280.48
21.00,81.80,78.10
20.00,11.10,158.20
20.00,25.90,334.60
20.00,-35.90,168.48
20.00,-36.61,304.37
20.00,-67.30,77.50
18.70,50.32,126.33
18.00,85.30,213.20
17.00,-42.35,300.21
16.50,48.15,168.53
16.00,86.40,145.20
15.00,-40.79,5.88
15.00,51.60,316.40
13.60,-1.19,143.61
12.00,58.63,336.76
12.00,8.10,119.01
11.00,39.70,331.40
10.00,42.21,359.60
9.00,78.90,259.10
8.80,-39.06,238.02
8.50,0.70,310.60
8.00,-22.77,84.37
7.80,-71.30,31.00
7.00,86.20,79.60
7.00,81.70,315.50
6.30,61.40,221.40
6.00,18.95,141.22
5.00,22.80,131.90
4.00,69.90,114.00
0.40,-2.10,0.00
