Diameter (km),Latitude,Longitude
350.00,-57.00,145.00
161.00,25.89,46.27
130.00,52.19,201.00
122.00,-23.97,18.82
120.00,-52.89,295.49
120.00,-35.00,104.76
108.00,50.10,243.37
106.00,-7.73,224.56
101.00,15.59,345.31
98.00,33.43,232.18
96.00,-46.25,287.40
90.70,-8.15,26.85
88.00,-43.65,186.66
86.20,29.75,279.93
81.00,-7.00,11.54
80.00,-15.38,301.14
79.00,46.77,296.25
77.00,-13.56,102.95
76.00,5.17,279.81
74.00,-32.70,332.26
74.00,-13.84,268.51
69.30,81.20,131.29
67.00,-3.00,241.00
65.22,84.33,276.31
63.00,-10.93,210.54
62.40,-9.96,237.03
62.00,-13.58,31.90
61.00,53.67,255.61
60.00,32.65,8.79
59.00,29.11,189.73
58.40,34.68,156.11
56.80,12.82,90.73
56.00,55.92,333.50
54.00,-22.13,245.92
53.00,24.00,126.63
53.00,4.93,104.20
52.40,-0.50,346.27
51.00,19.16,183.00
50.00,9.90,147.73
50.00,-24.71,79.63
49.10,24.70,287.90
47.00,-34.00,65.00
47.00,-35.94,225.18
45.80,18.44,24.35
45.70,22.15,131.25
45.00,-2.60,245.00
44.00,-77.40,166.58
44.00,65.09,181.73
43.80,6.00,93.29
43.00,0.39,268.45
42.20,-2.38,275.30
41.00,14.65,26.46
39.70,-16.20,97.20
39.00,-35.00,55.39
38.50,-61.66,46.57
36.20,49.19,76.32
35.70,-18.47,76.41
35.70,44.47,351.60
35.20,-59.17,53.72
35.10,-0.10,65.96
35.00,65.72,46.40
35.00,-74.36,0.00
35.00,-68.18,335.00
34.00,-56.47,36.80
31.90,-4.36,60.61
29.00,-43.35,88.53
29.00,7.17,311.42
27.30,-37.52,88.62
27.29,14.00,309.15
23.50,34.81,22.76
14.20,-63.38,89.96
13.00,-39.84,246.22
11.90,-3.30,63.00
