Diameter (km),Latitude,Longitude
30.80,41.51,202.04
29.45,66.97,211.61
26.00,81.12,241.15
24.00,57.71,226.69
21.40,48.25,280.41
20.80,-22.23,182.05
19.91,46.50,201.60
19.52,53.95,285.79
18.73,58.07,281.26
18.13,57.87,310.02
17.45,38.58,295.02
17.32,53.76,347.09
15.68,61.68,239.39
15.54,45.39,289.99
15.54,-30.76,184.95
15.51,51.55,249.65
15.40,31.75,196.17
15.27,-31.57,188.91
15.20,35.52,306.55
15.13,66.27,294.27
15.08,50.48,200.78
14.98,61.69,1.23
14.89,62.04,319.14
14.58,36.47,225.74
14.18,38.74,280.78
13.84,47.60,225.02
13.49,22.95,25.56
13.29,-15.43,181.49
12.95,38.20,303.01
12.40,-4.10,185.86
11.54,17.89,273.97
10.80,-30.65,157.40
10.56,14.70,61.37
10.53,42.35,173.05
10.52,17.73,348.49
10.43,-21.12,155.11
10.15,-18.88,178.66
10.15,34.60,337.56
10.02,-40.03,159.80
9.98,-21.09,201.75
9.54,-32.41,178.88
9.20,5.26,191.62
8.84,-2.27,172.82
8.50,-17.59,181.26
7.53,-23.90,296.18
7.02,-37.16,333.58
4.41,-5.99,4.40
4.30,16.42,301.91
34.09,56.84,17.51
30.53,62.69,22.14
23.80,69.52,26.97
21.81,73.85,11.59
19.55,-40.62,32.25
