Diameter (km),Latitude,Longitude
50.00,-22.80,138.00
45.00,-25.20,271.40
37.40,3.65,338.75
30.00,3.10,239.70
29.70,0.80,164.40
22.20,9.14,344.54
21.30,58.80,78.90
19.90,-40.20,257.57
17.00,-14.70,230.60
15.90,-80.90,194.90
15.20,59.92,172.36
15.00,2.60,181.90
15.00,-4.90,152.60
13.50,-59.70,99.40
11.50,-37.30,302.80
11.00,27.99,44.31
10.80,-25.60,183.70
10.60,-50.48,233.33
10.00,37.64,98.66
10.00,1.40,169.50
9.80,37.35,168.74
9.50,10.80,81.30
8.20,-61.30,102.00
6.50,-48.50,90.70
6.20,-52.30,213.40
5.30,-55.30,84.40
5.00,87.45,287.86
5.00,21.10,216.90
5.00,-60.50,81.60
5.00,-43.00,177.50
4.80,-52.80,97.80
4.50,-12.60,75.10
4.50,-26.50,81.10
4.50,-65.40,207.30
4.00,-36.90,88.10
3.00,-2.50,76.40
2.50,-31.90,79.80
2.00,-16.80,197.90
1.70,13.82,177.47
1.70,-66.10,159.10
1.10,-1.80,221.80
