Diameter (km),Latitude,Longitude
343.00,22.96,180.65
210.00,63.51,62.73
199.00,17.75,123.43
194.00,-8.37,120.79
190.00,-30.17,4.88
188.00,-68.30,279.28
177.00,4.75,236.16
173.00,-66.90,268.74
170.00,31.28,333.67
169.00,-12.40,44.11
168.00,15.03,105.70
153.00,-62.84,124.83
140.00,-36.31,140.32
135.00,-24.89,239.85
135.00,-39.72,264.54
133.00,22.54,254.11
131.00,64.30,244.21
122.00,-26.61,325.13
120.00,47.39,269.38
117.00,-32.52,114.84
114.00,-84.44,128.66
108.00,35.95,100.26
107.00,-38.00,166.31
106.00,-32.91,251.01
105.00,-9.86,186.07
103.00,-39.16,345.38
102.00,33.69,220.61
102.00,-43.22,147.25
100.00,-53.80,268.90
99.00,-15.12,114.77
98.00,-17.45,192.12
96.00,-30.57,212.66
95.00,30.84,12.80
94.00,27.66,304.20
94.00,11.14,27.26
93.00,33.22,113.87
91.00,6.27,118.32
90.00,34.45,167.14
90.00,-13.46,110.43
90.00,29.45,6.97
90.00,-54.21,269.20
89.50,8.50,0.00
88.00,-4.31,335.89
88.00,-14.35,140.55
87.00,47.68,178.50
86.00,-69.89,59.81
84.00,-39.05,122.98
82.00,-1.12,255.46
81.00,59.21,48.85
80.00,-37.51,190.83
78.00,-34.66,227.03
78.00,72.70,349.46
77.00,23.05,48.67
76.00,22.00,160.62
75.00,-67.28,201.20
74.00,60.93,192.62
73.00,34.05,145.75
72.00,-13.56,137.56
70.00,-31.60,64.23
70.00,28.53,296.82
67.00,0.37,8.37
64.00,20.90,77.90
64.00,23.72,193.89
63.00,15.87,232.70
63.00,-25.48,180.96
61.50,31.76,342.35
61.00,61.25,356.78
60.00,56.41,182.65
58.00,36.01,154.23
57.00,73.08,31.32
57.00,-8.12,276.16
57.00,-24.10,335.35
56.00,-4.33,21.30
56.00,18.64,219.44
56.00,-17.61,241.87
56.00,57.45,33.99
55.00,65.24,344.25
55.00,1.01,151.36
54.00,72.13,62.66
53.00,-58.26,320.57
52.00,-52.75,161.10
51.00,13.45,230.76
50.00,-58.34,340.70
47.00,20.41,147.56
47.00,28.95,164.39
47.00,-17.76,85.26
46.00,74.74,340.35
45.00,-17.80,85.20
44.00,43.16,356.84
43.00,24.92,329.97
43.00,58.74,171.21
41.00,30.55,327.35
40.50,20.75,45.98
40.00,61.90,11.78
40.00,23.14,351.77
40.00,-55.15,67.31
40.00,-45.39,1.19
40.00,-14.15,352.77
39.00,57.43,358.02
38.00,68.34,322.02
38.00,64.15,12.30
38.00,17.09,215.97
36.00,16.00,35.20
36.00,-12.36,290.35
34.60,55.36,312.10
33.00,29.23,1.26
33.00,58.16,37.41
32.00,14.11,189.84
31.00,-15.32,175.26
31.00,1.30,203.63
30.00,-65.90,217.05
29.00,44.35,321.04
27.00,14.44,133.13
26.00,57.49,36.62
25.50,54.16,333.48
25.00,32.63,192.32
23.00,9.93,165.95
20.00,17.72,148.73
19.00,52.94,357.46
17.00,1.02,152.93
17.00,46.40,319.54
16.00,13.23,308.65
15.00,0.40,334.60
15.00,44.62,311.95
14.75,5.09,218.94
12.40,15.14,134.08
11.00,-14.41,178.75
9.60,38.58,200.33
8.00,-3.30,230.30
7.00,15.30,134.34
5.00,11.59,168.40
2.90,-4.10,128.00
