Diameter (km),Latitude,Longitude
767.74,37.53,92.92
580.00,16.90,28.40
504.00,-40.50,264.70
445.00,-45.60,233.00
424.00,33.80,82.60
377.00,-15.20,118.20
244.00,9.30,329.30
230.00,-44.30,19.80
200.00,38.00,178.00
160.00,57.00,358.00
144.00,73.30,25.20
136.00,39.20,176.10
122.00,14.90,321.20
121.00,5.90,41.30
119.00,67.90,270.20
113.00,62.50,200.80
110.00,-55.00,8.00
107.00,13.00,2.50
100.00,18.00,315.00
100.00,42.50,275.10
96.00,10.60,270.00
95.00,55.00,258.80
91.00,-64.40,166.20
87.00,47.70,1.40
86.00,33.30,347.80
84.00,62.10,219.70
84.00,18.30,71.60
83.00,-39.00,33.00
81.00,58.60,173.40
80.00,-52.00,111.80
76.00,33.30,194.70
75.00,27.70,135.80
73.00,0.90,114.20
66.00,16.40,224.90
65.00,17.70,214.50
64.00,12.40,83.40
63.00,71.90,249.10
58.00,-3.50,187.40
58.00,-9.90,212.30
57.00,6.60,183.60
56.00,76.00,309.80
49.00,30.40,116.90
49.00,36.60,84.90
49.00,-33.20,197.00
49.00,29.60,104.40
48.00,-40.70,290.80
48.00,70.70,93.00
47.00,-3.20,240.50
44.00,65.20,159.80
43.00,53.40,276.00
42.00,0.90,220.70
38.00,42.70,154.90
33.00,6.50,298.60
19.00,-0.10,99.00
17.00,1.50,187.00
8.00,-0.20,188.40
6.00,-0.70,187.90
0.06,1.60,173.50
