Diameter (km),Latitude,Longitude
2300.00,-42.40,70.50
1900.00,12.90,87.00
1700.00,-49.70,316.00
467.25,-13.88,55.58
458.52,-2.71,16.77
457.45,-36.79,3.92
408.23,23.35,32.11
400.95,21.38,60.83
363.08,-21.59,355.74
343.70,13.28,35.93
302.27,-13.31,171.00
301.83,-48.84,191.17
299.94,-40.50,201.97
297.92,-14.48,129.89
296.67,-29.56,218.46
291.59,-1.90,55.99
254.13,-24.27,1.04
236.06,-16.80,19.22
228.24,-46.69,140.98
223.53,-50.63,329.00
223.41,-57.84,102.15
221.53,50.47,29.34
209.66,-19.83,322.26
202.22,-51.96,278.50
201.67,-46.19,19.11
201.35,-72.07,282.10
198.97,19.93,50.70
198.81,0.60,304.79
185.45,-66.34,315.11
185.32,-9.11,38.06
182.07,-52.30,351.46
181.31,22.76,65.48
180.00,-23.16,8.49
179.06,-27.49,96.12
176.38,-56.97,340.85
173.70,25.22,48.28
172.56,-47.63,29.72
171.50,-27.96,74.14
170.78,-52.48,110.90
168.87,-27.50,149.27
167.57,10.79,23.45
165.23,21.89,352.06
165.18,-45.88,202.40
161.37,-69.61,221.49
159.72,-17.43,33.52
158.67,-24.37,50.23
158.12,-14.53,175.52
156.58,-34.68,195.76
154.49,-21.18,153.81
154.08,-5.37,137.81
153.63,2.69,37.61
152.90,-22.97,15.73
152.66,-26.04,325.98
152.35,10.22,29.93
152.09,-25.14,195.36
152.08,-4.17,133.42
151.01,-43.24,343.31
148.78,16.09,347.02
145.21,-2.87,353.05
140.15,-18.17,11.39
139.15,-49.37,355.57
139.06,27.78,9.50
137.65,-44.92,315.60
137.55,-37.71,17.10
137.31,-35.69,323.64
137.17,5.72,333.09
136.66,34.27,40.67
135.90,-67.53,76.01
135.08,-54.50,12.43
134.51,-53.20,188.45
131.55,41.79,44.54
130.53,65.04,350.76
128.10,-23.24,205.79
127.14,-47.34,275.54
125.66,-75.57,118.94
125.26,-54.25,165.58
124.16,-10.65,2.77
124.16,-9.84,268.23
123.31,-6.57,133.31
123.27,-65.22,127.83
123.20,-18.39,195.86
122.78,-75.30,106.93
122.72,-40.04,122.71
121.83,-69.91,344.53
121.34,-68.00,86.08
121.11,-61.06,61.59
120.69,-36.77,346.72
120.67,47.33,291.25
120.52,-25.74,127.89
120.26,-48.24,334.14
120.25,-65.84,235.71
120.23,-19.59,201.49
120.00,-27.46,8.09
119.27,-13.88,203.67
118.24,-61.92,328.04
116.83,-41.09,335.21
116.30,-23.77,339.43
116.15,19.31,24.62
115.99,-0.19,314.10
115.46,-19.26,156.97
115.34,12.07,327.69
115.20,-33.48,227.39
115.14,-10.57,139.75
114.89,0.43,45.07
114.81,-28.00,57.75
114.81,-49.17,182.97
114.28,32.20,22.12
114.28,-4.30,72.64
114.06,-74.86,66.55
113.78,-58.51,208.99
113.51,54.46,213.42
112.89,-21.19,85.10
112.69,-72.29,117.10
112.60,-29.29,194.02
111.26,-45.40,338.73
111.11,28.78,355.25
111.09,-48.09,97.34
111.00,7.44,25.67
111.00,34.04,323.01
110.99,-76.54,49.01
110.08,5.08,349.86
110.07,-50.68,105.80
109.96,16.95,355.29
109.72,33.52,357.05
108.77,-69.88,271.11
108.03,-9.31,138.31
107.78,-18.46,27.27
107.18,38.03,50.96
107.12,-14.82,162.49
107.08,19.03,349.41
106.95,-43.61,34.91
106.92,-74.30,252.52
106.52,-62.67,100.77
106.28,-68.56,191.53
105.58,-46.88,206.94
105.27,-49.41,146.12
104.95,-72.63,336.26
104.69,-32.79,324.06
103.99,-50.36,246.24
103.80,-32.36,185.42
