Diameter (km),Latitude,Longitude
1500.00,31.65,198.02
716.00,-32.89,272.13
630.00,-20.86,124.21
467.00,-27.47,2.68
430.06,-44.73,178.11
355.00,-16.23,164.64
342.00,-20.42,76.35
319.00,-1.30,36.62
317.17,81.10,51.03
305.00,27.66,302.63
291.00,70.31,257.68
280.00,19.50,280.44
271.00,43.22,159.43
258.00,27.15,240.94
251.00,-27.22,71.64
241.45,1.37,246.98
241.00,7.75,190.59
232.00,-65.79,20.73
230.00,-44.92,109.69
230.00,21.72,18.89
224.00,-36.98,124.90
220.00,-18.34,52.01
218.00,-10.53,256.61
216.00,-12.88,333.90
214.28,-69.86,103.01
213.16,-76.09,124.26
213.00,13.76,85.92
212.79,-2.83,259.68
210.00,-23.58,141.41
208.00,37.63,287.01
206.00,39.61,48.49
204.00,24.84,35.95
203.00,44.23,9.77
200.00,52.41,277.26
198.00,27.11,60.28
197.00,-60.01,78.01
196.00,43.29,69.83
196.00,50.92,90.48
196.00,-12.79,282.96
195.00,21.51,118.98
194.00,-36.20,61.23
193.00,21.95,258.86
192.00,-61.65,17.57
191.00,-48.25,70.17
190.00,-43.21,54.26
189.00,-23.80,90.19
189.00,53.41,136.67
185.00,3.18,272.76
183.00,-52.75,99.95
180.00,-26.13,175.06
177.00,-52.20,303.40
176.00,45.16,240.26
176.00,6.40,259.59
174.00,34.71,78.74
174.00,-1.66,252.96
171.00,7.86,50.93
171.00,-47.69,128.27
170.00,-17.42,315.04
168.13,-80.32,140.97
168.00,8.97,149.73
168.00,8.08,283.03
167.00,-9.00,340.30
167.00,32.45,66.88
167.00,-30.52,26.29
166.42,-45.34,191.60
166.00,15.24,48.94
166.00,-14.56,304.24
165.00,8.53,104.12
164.00,39.19,91.76
164.00,-19.37,287.98
164.00,-28.00,329.10
163.80,79.68,207.02
160.00,-18.21,179.82
159.00,-24.35,35.89
159.00,-17.97,37.48
158.00,-44.32,129.51
158.00,-53.56,180.70
158.00,60.58,77.99
157.00,-48.73,18.17
156.00,45.60,36.93
156.00,-47.23,61.55
155.00,1.03,132.75
155.00,-12.17,85.66
154.00,-60.53,61.81
153.23,-16.19,86.88
153.00,-37.65,9.64
152.00,-52.44,21.49
151.95,-80.99,23.01
151.49,-66.97,282.75
151.00,-26.28,9.51
149.00,-72.78,238.37
146.00,-27.98,122.70
146.00,22.01,9.89
145.00,19.56,47.59
145.00,-39.89,184.16
145.00,64.36,169.71
144.00,12.46,56.48
143.00,46.87,117.31
143.00,29.44,53.67
143.00,-53.64,46.02
142.00,-10.91,138.28
142.00,-6.95,146.04
140.72,-88.42,156.36
140.00,-50.96,41.19
139.12,81.51,193.63
139.00,-18.87,120.18
139.00,-38.56,334.49
139.00,15.40,17.71
138.00,-6.79,152.29
138.00,3.53,34.38
138.00,46.69,359.37
138.00,-13.34,26.96
138.00,-31.91,166.11
137.00,-64.61,88.59
136.35,63.63,112.35
136.00,56.75,242.13
136.00,-37.23,163.82
136.00,65.68,136.26
134.00,64.49,81.01
134.00,3.44,309.76
134.00,15.46,30.59
134.00,2.05,143.88
134.00,-68.25,114.78
132.00,58.23,52.42
132.00,-12.54,30.40
132.00,40.70,101.16
131.00,-65.45,123.40
131.00,-46.98,93.57
130.00,27.26,315.28
129.00,-2.96,147.41
129.00,51.95,78.90
129.00,-15.12,157.08
129.00,10.66,245.79
128.57,-8.94,22.51
128.00,37.59,55.43
128.00,-41.30,162.80
126.00,58.33,128.35
126.00,17.10,35.69
126.00,17.38,3.13
125.00,-33.77,237.71
124.00,-0.13,69.26
124.00,23.47,23.15
124.00,-3.97,51.76
123.00,-40.93,163.49
122.00,-37.22,34.56
122.00,60.36,214.76
121.00,-31.79,62.60
120.00,-51.31,115.34
120.00,-79.56,174.24
118.00,-29.22,135.06
118.00,-23.70,180.41
117.00,17.63,21.19
116.23,61.73,10.66
115.00,36.16,29.84
115.00,32.82,97.65
114.00,-0.98,73.64
114.00,57.84,343.35
113.00,-68.15,260.20
113.00,-44.09,255.19
113.00,-58.95,51.94
112.00,-55.67,66.60
112.00,-52.66,234.21
112.00,85.77,297.08
111.67,-84.39,58.94
111.00,-3.05,64.57
110.00,-34.16,300.00
110.00,-48.55,80.15
110.00,25.21,230.90
110.00,-13.31,142.35
