Diameter (km),Latitude,Longitude
1145.53,34.72,-14.91
996.84,-47.77,91.99
875.75,8.35,30.83
840.35,-7.83,53.67
714.50,-20.59,-17.29
674.28,27.29,18.36
555.92,16.18,59.10
536.37,1.37,-128.66
524.23,-35.69,-151.48
511.93,7.79,-30.64
423.41,-4.19,-157.41
419.67,-24.48,-38.57
378.42,34.59,-97.19
373.97,-1.71,87.05
357.63,12.70,86.52
350.01,-10.53,-22.31
345.99,-56.86,163.99
339.39,-15.19,34.60
337.14,40.87,98.74
329.81,58.45,-145.65
325.13,5.38,141.17
319.46,-57.27,135.34
316.39,-74.73,132.93
300.56,-66.82,-68.90
294.16,-19.87,-94.67
282.20,-33.25,164.83
275.57,27.28,148.12
261.83,-19.66,149.35
259.97,-31.00,112.78
244.84,7.49,68.66
242.46,13.20,4.09
241.41,-19.61,123.24
240.47,-27.04,172.01
236.67,-38.24,179.35
235.00,-5.38,-68.36
233.55,51.07,164.89
232.77,-11.58,104.91
231.97,-13.94,-152.99
230.78,56.92,81.54
230.77,-58.62,-14.73
227.02,-32.55,-5.57
222.48,45.57,152.91
218.15,42.16,-119.34
215.08,61.53,90.15
212.36,57.27,-99.23
212.18,-44.38,-55.11
211.42,70.08,121.57
201.16,-35.32,-166.03
200.65,-44.96,40.82
199.46,-27.02,80.96
186.56,-75.07,-135.06
186.35,-44.45,176.25
184.39,-20.38,128.97
184.06,-25.39,60.78
181.89,5.70,162.39
181.47,16.60,-88.65
181.15,84.99,-157.89
179.44,43.07,100.68
179.36,-51.72,-39.78
179.05,-34.01,-132.88
174.97,18.13,-149.24
173.24,-17.87,108.32
172.79,25.79,93.39
172.76,-19.30,171.12
170.72,36.01,79.08
170.53,65.41,3.52
166.12,56.98,-162.48
164.63,55.86,104.05
164.46,-10.44,166.77
164.34,23.41,-76.65
163.24,-65.11,-88.49
162.56,30.93,99.89
162.49,-79.57,-87.18
162.21,-32.60,-71.45
160.07,-55.43,-114.32
159.94,5.39,-149.69
158.07,-9.78,161.78
157.68,-81.10,-110.58
157.38,2.87,-76.57
155.66,-2.90,-74.42
155.58,-50.03,-5.98
154.44,62.31,-41.86
153.67,-9.16,-1.84
152.67,-42.37,136.54
150.89,64.83,-161.54
150.60,-50.47,84.80
148.14,17.90,-126.06
146.56,59.56,-57.38
145.99,22.43,67.58
145.54,-34.85,147.28
145.50,-49.55,-21.88
145.31,-37.55,-115.84
145.21,-6.01,93.63
144.55,63.68,-62.98
144.32,8.76,84.58
143.95,-5.36,4.91
143.13,1.30,65.30
143.05,-28.28,142.40
141.21,-16.46,61.55
139.65,-48.83,-109.86
139.52,42.59,-145.27
138.87,-23.05,92.28
137.92,-69.30,-173.06
137.35,-34.63,85.78
137.31,-67.54,178.57
137.26,74.75,-88.36
136.30,-20.27,70.22
135.22,59.02,52.84
135.03,-36.00,60.54
134.23,-33.25,0.62
134.11,-43.63,-35.19
133.67,-22.06,79.68
132.00,-14.66,-123.41
131.98,-8.86,61.04
130.84,-11.24,4.01
130.77,27.60,55.50
129.87,-41.24,5.93
129.84,63.21,165.36
129.74,64.36,-142.64
129.69,-16.44,172.96
128.42,32.88,-91.42
127.61,-70.21,53.73
127.55,17.50,-133.38
127.36,-14.06,-140.53
127.22,33.71,105.78
127.03,49.43,-176.03
126.64,-28.28,-1.09
126.37,14.91,109.28
126.06,52.09,-144.20
126.06,-16.17,167.64
125.55,-18.04,96.15
125.38,-74.27,-76.02
125.00,-29.28,-178.87
124.70,73.57,19.63
123.39,-5.76,150.24
123.14,6.72,-121.55
122.82,15.97,-120.53
122.40,39.31,60.06
122.18,-19.93,-69.21
122.10,53.61,56.48
122.00,-51.68,127.74
121.93,-78.09,59.36
121.80,-46.80,107.89
121.52,35.57,-94.64
121.37,-69.85,-26.26
121.02,-40.37,-3.96
