Diameter (km),Latitude,Longitude
480.00,14.00,184.00
271.20,-8.20,280.40
123.00,48.60,269.70
119.40,9.00,24.90
103.40,-9.00,129.00
101.40,-47.70,90.70
96.70,-21.20,167.80
96.60,16.00,150.40
93.60,-54.70,175.60
93.40,-18.00,74.10
89.10,12.90,164.70
88.00,7.70,176.10
87.20,-21.30,146.50
83.00,-56.30,226.40
82.60,-36.90,64.80
82.60,-12.50,57.40
78.80,-14.50,46.20
77.50,7.20,208.00
76.80,-50.90,111.20
75.80,-63.80,37.40
74.20,3.80,49.00
73.80,37.60,155.00
73.60,-24.90,241.90
71.20,53.20,188.50
70.40,56.10,158.60
68.60,37.00,175.80
67.20,-1.90,131.20
67.20,-1.10,269.70
64.60,0.70,202.70
63.20,-35.00,57.20
62.50,-12.70,162.20
62.20,17.90,175.20
60.80,-54.80,146.90
60.80,-59.00,55.50
60.00,2.40,56.30
59.80,-16.90,284.40
59.60,-78.00,242.40
58.40,24.70,155.40
58.20,-20.10,194.90
57.80,29.60,194.30
57.20,-52.00,192.60
57.10,-39.90,113.70
55.80,26.90,174.80
54.80,-2.30,301.60
53.80,25.50,346.40
53.00,-36.50,250.00
52.40,44.50,206.90
52.40,46.50,243.10
51.60,-16.70,341.80
50.00,10.00,277.20
49.80,-37.30,150.30
49.80,58.00,136.50
49.00,-63.00,213.60
48.40,38.00,246.30
47.80,-17.10,106.00
47.80,-74.90,10.30
47.60,-53.50,346.80
47.20,-5.50,124.20
47.20,-33.30,216.70
47.20,-14.10,112.10
46.80,-23.40,83.70
46.70,25.70,190.00
46.00,46.60,311.90
45.20,-71.70,326.40
43.40,-14.20,220.70
43.00,13.70,294.50
42.90,-76.40,301.70
40.40,-45.90,204.70
39.20,-17.80,349.00
38.80,19.60,66.00
36.80,38.00,322.40
35.00,35.00,43.80
34.60,25.30,288.70
33.40,-22.40,291.30
33.00,33.90,292.40
33.00,67.00,88.90
31.40,-26.40,282.70
30.40,16.00,250.70
29.80,31.60,281.70
28.00,19.00,134.20
12.00,-17.52,250.83
