Diameter (km),Latitude,Longitude
445.00,32.82,128.89
320.00,-34.53,356.89
250.00,-58.50,192.61
207.50,-10.83,249.22
190.00,-30.15,210.33
138.00,-59.89,286.15
125.00,-59.37,18.21
100.70,51.31,32.37
93.00,-1.77,335.18
92.00,54.00,339.38
91.00,-41.44,6.23
88.00,-28.41,282.00
79.00,-12.60,54.66
75.90,11.32,286.22
73.00,-3.48,282.98
69.00,84.40,5.00
68.20,-38.40,148.69
63.00,-55.71,101.30
62.00,0.25,44.16
60.00,53.43,263.69
58.60,0.60,324.38
54.50,-72.19,305.18
54.40,-5.89,305.85
51.13,-46.36,67.46
51.00,8.00,34.86
50.00,30.31,212.61
48.57,38.12,289.42
44.80,-5.07,27.68
39.80,-20.39,43.85
38.40,-35.65,65.00
38.20,-54.00,64.81
38.00,-75.63,65.22
37.60,-19.38,25.72
34.30,-14.43,205.63
33.00,7.86,238.91
31.00,52.54,246.50
30.00,23.10,51.12
29.50,44.40,4.96
28.30,2.32,184.71
26.50,-27.00,244.81
25.70,28.13,93.44
23.00,1.38,86.41
22.30,18.71,171.21
18.70,25.50,143.31
14.50,60.39,0.83
13.80,-4.26,123.84
13.60,-14.87,128.70
13.00,-4.67,299.00
12.50,21.53,118.66
11.80,2.52,119.33
