lat,lon,diameter
12.5,57.0,268.7
-29.9,204.2,176.0
-23.2,199.3,107.0
65.9,7.0,105.0
62.5,40.4,105.0
9.7,288.8,102.2
-1.7,62.4,100.9
51.9,143.4,98.1
23.4,140.4,96.6
-67.5,229.6,93.6
22.9,145.1,92.3
31.7,53.0,89.6
-36.1,127.0,87.6
-56.2,98.8,87.1
-6.2,6.0,84.1
33.8,288.6,83.8
25.6,25.2,82.5
-43.2,233.2,75.3
-26.6,99.3,73.7
61.4,223.0,73.0
16.6,268.0,72.9
64.3,139.6,72.5
24.5,228.8,72.4
-4.1,155.6,71.8
24.4,220.1,69.8
-3.0,68.7,69.5
-52.0,146.0,68.7
-35.2,307.8,68.5
74.7,177.0,67.7
-30.8,20.2,66.6
18.2,326.5,63.9
48.2,195.3,63.8
-37.0,329.0,63.8
-26.5,340.0,62.7
-59.5,354.4,62.7
5.1,94.6,62.5
15.2,217.4,62.2
60.3,154.4,60.3
26.4,42.8,58.6
17.3,141.4,57.6
-63.0,289.0,57.3
-3.9,16.1,56.8
81.1,285.3,55.6
-52.3,195.7,55.6
-52.4,329.4,55.5
25.4,72.9,54.7
66.3,125.7,53.3
2.0,96.1,53.3
-44.4,271.1,52.5
-77.6,94.8,52.3
23.6,112.5,52.0
-17.0,155.0,51.5
59.6,65.6,50.3
-16.8,105.6,50.2
55.6,61.9,50.0
27.4,337.5,50.0
-11.7,176.5,49.4
7.2,309.4,48.9
-1.7,64.6,48.7
14.5,350.9,48.5
-24.7,296.0,48.4
24.4,111.3,48.3
-61.2,211.5,48.1
45.3,146.2,47.9
35.3,56.1,47.9
70.7,300.2,47.8
-26.4,337.2,47.6
-63.6,46.6,47.4
75.1,242.2,47.2
48.4,39.0,47.1
59.4,263.5,46.8
-39.2,260.8,46.6
35.0,301.6,46.5
-15.1,203.5,46.2
28.7,287.8,46.1
84.0,16.5,45.3
78.2,306.5,45.3
1.0,260.0,45.1
0.3,151.8,45.1
70.7,289.8,44.9
-6.6,284.8,44.9
8.6,298.8,44.0
-25.0,168.5,43.9
25.7,91.3,43.7
55.6,222.3,43.0
-61.1,181.8,43.0
59.4,280.0,42.9
53.7,243.9,42.9
20.5,78.5,42.8
13.1,253.5,42.8
40.3,87.2,42.4
61.4,307.9,41.7
-39.5,37.7,41.4
-30.2,151.3,41.3
23.6,204.6,41.1
68.1,291.7,41.0
64.6,147.3,40.9
-42.0,271.9,40.7
-10.9,11.7,40.6
-45.5,335.5,40.0
29.9,282.9,39.4
