Diameter (km),Latitude,Longitude
450.00,-71.95,86.30
400.00,-47.93,305.68
195.89,33.84,33.77
158.45,29.62,179.58
104.23,31.20,249.93
90.86,76.61,200.69
67.60,8.98,339.55
59.07,70.20,262.58
53.20,35.71,317.03
50.19,16.72,349.10
42.90,16.74,96.76
41.76,-29.54,181.63
41.68,37.73,197.76
40.29,-69.47,179.30
36.82,-49.41,190.88
36.67,-7.89,99.08
35.67,48.39,82.09
34.74,-75.41,271.55
34.73,46.45,143.78
32.99,37.62,337.96
30.62,-3.30,297.21
30.33,-68.44,350.73
29.94,-7.48,37.25
29.45,-46.85,165.38
29.23,57.62,285.02
25.78,0.14,317.06
25.43,68.99,345.87
24.25,-29.88,66.26
24.05,23.34,167.35
23.99,-59.43,100.54
23.44,-42.04,354.31
23.15,20.20,357.20
22.34,4.05,210.77
22.34,-72.42,10.33
22.34,-64.22,151.15
22.06,-41.51,272.55
21.77,-29.82,18.38
21.36,-23.03,258.75
21.09,22.40,255.01
20.68,63.81,237.09
20.61,-53.25,291.41
20.34,-15.05,51.22
19.48,-39.00,295.93
19.30,-75.96,299.12
19.00,7.54,151.37
18.89,4.80,229.31
18.61,29.63,64.65
18.54,36.23,94.06
18.48,61.56,343.91
18.47,-20.43,270.71
18.42,-40.16,179.25
18.34,16.85,199.29
18.13,10.92,133.11
17.96,-58.93,214.73
17.65,36.96,20.65
16.75,-58.70,350.78
16.73,-26.13,292.65
16.54,-38.39,170.75
15.79,14.53,234.36
15.79,-12.92,288.71
15.72,0.63,178.96
15.17,-70.22,139.22
14.90,-9.37,15.57
14.75,19.24,281.38
14.06,-1.14,239.82
13.53,-11.11,225.93
11.93,-37.45,237.01
11.64,-39.86,346.81
11.62,15.53,55.76
11.48,-28.15,92.80
11.44,0.91,191.17
11.32,-33.62,84.52
10.49,39.44,221.59
10.27,-7.32,168.34
8.89,-46.82,290.45
8.11,-36.78,75.76
7.62,-34.41,107.88
7.34,-15.47,168.48
7.10,-26.96,10.30
6.69,-3.44,61.06
6.55,-44.80,90.71
5.79,-27.85,78.85
4.90,-37.36,242.33
4.34,-14.26,290.80
3.14,-25.44,99.76
3.03,-35.58,238.22
2.87,-9.16,329.56
2.58,-50.53,256.34
1.36,14.90,329.90
0.57,-1.65,146.00
