name,lat,lon,diam
Caloris,31.934,164.100,1595.019
 ,-42.562,-54.002,1043.129
 ,19.835,43.583,895.228
 ,71.547,-80.886,810.247
 ,33.260,-133.605,788.142
 ,52.598,-63.744,758.125
 ,44.417,40.814,746.282
 ,-7.981,21.264,699.727
Rembrandt,-33.106,87.635,698.635
 ,-52.358,-162.206,696.591
Beethoven,-20.646,-123.886,649.635
 ,-59.572,-1.937,614.400
 ,52.606,-28.345,581.587
 ,-55.066,-107.416,563.699
 ,4.700,74.014,530.121
 ,-20.189,-149.946,504.245
Tolstoj,-17.110,-164.674,501.126
 ,-73.334,150.270,486.806
Sanai,-13.303,-6.861,475.662
 ,-10.577,102.804,475.234
 ,-33.472,-98.446,457.176
 ,0.623,93.338,428.625
 ,-38.956,-101.451,420.759
Dostoevskij,-44.462,-176.560,412.006
 ,-10.024,-48.666,410.513
Aneirin,-27.418,-3.816,403.316
Shakespeare,48.055,-151.686,396.519
 ,-74.026,-14.470,396.492
 ,-26.551,-142.086,391.371
 ,27.976,-158.411,389.256
 ,-45.849,-93.960,385.867
 ,50.528,-59.127,385.241
 ,-59.943,86.766,383.713
Vyasa,50.678,-85.143,380.466
 ,-2.491,-55.986,377.830
 ,-60.998,-63.274,359.378
 ,-3.135,-44.328,357.931
 ,-44.316,-143.196,356.914
 ,55.644,-10.436,341.262
 ,-16.992,-23.095,340.445
 ,-20.591,-47.366,327.712
Goethe,81.384,-53.701,326.627
Raphael,-20.309,-76.161,320.524
 ,4.345,-40.890,317.772
 ,57.139,-107.489,313.343
 ,3.347,-49.154,311.558
 ,28.898,-113.875,308.008
 ,-25.010,-98.864,307.722
 ,-17.286,-96.905,303.507
 ,33.469,-162.096,299.546
Mendelssohn,70.353,102.144,296.482
Rachmaninoff,27.777,57.266,295.953
Homer,-1.379,-36.609,294.080
 ,65.661,47.470,290.907
 ,6.514,134.154,289.646
 ,-5.647,83.681,287.929
 ,-51.522,92.622,281.952
 ,49.340,-104.996,281.073
 ,9.759,-17.175,270.946
 ,16.128,87.553,270.218
Van Eyck,42.976,-159.401,269.922
 ,-1.382,-137.100,269.205
 ,-21.100,124.771,267.953
Hafiz,19.516,79.824,267.445
 ,40.021,-63.470,266.811
 ,16.607,-101.580,264.775
 ,-18.646,-135.156,264.706
 ,-15.730,153.744,263.688
 ,-3.097,-150.877,263.665
 ,-56.420,34.728,263.580
 ,23.649,110.282,261.963
 ,-18.856,81.114,256.897
Raditladi,27.197,119.114,254.128
Viera da Silva,1.787,-123.216,253.910
 ,65.247,167.700,253.096
Haydn,-27.253,-71.619,251.656
 ,52.373,27.464,248.985
 ,-2.102,24.254,248.543
 ,-47.143,-115.406,248.004
 ,-15.788,-14.486,247.539
 ,-27.366,118.895,247.262
 ,-14.634,-173.648,247.247
 ,65.154,-146.858,246.577
 ,16.162,-44.086,245.440
Michelangelo,-44.840,-109.790,243.669
 ,-36.406,-113.146,241.818
 ,31.027,69.304,239.272
 ,-82.735,17.364,236.647
 ,26.360,-164.212,236.458
Mozart,7.681,169.557,235.992
Pushkin,-65.745,-21.073,233.464
 ,-41.233,-86.477,232.834
 ,3.873,128.823,232.561
Kunisada,1.425,113.036,230.908
 ,-4.773,-120.966,227.128
Sveinsdottir,-2.959,100.101,226.025
 ,62.071,94.400,225.890
 ,-0.237,140.236,225.844
 ,37.604,110.474,224.927
 ,50.049,-44.586,224.075
Surikov,-37.050,-124.899,223.893
 ,-5.611,-97.574,222.897
 ,-43.204,120.626,222.550
Rodin,21.675,-18.874,221.993
 ,34.917,121.824,220.622
 ,-17.978,111.714,216.660
 ,-10.690,103.214,215.014
Renoir,-18.341,-52.024,214.392
Hugo,39.516,-48.637,212.312
 ,66.798,13.620,212.178
 ,-48.578,-136.186,211.465
 ,44.229,-1.062,211.402
 ,11.672,-86.865,211.061
 ,58.825,102.873,210.493
 ,32.939,-155.696,209.867
 ,-19.003,167.092,209.790
 ,16.767,-165.713,208.929
 ,-9.213,-149.614,208.459
Copland,37.613,73.192,208.305
Valmiki,-23.530,-141.097,208.213
 ,-28.247,-159.667,207.023
 ,-63.467,-28.386,206.718
Ma Chih-Yuan,-60.406,-77.398,206.185
Henri,79.650,152.380,205.783
 ,-17.989,-113.983,205.697
Mendes Pinto,-61.858,-17.575,205.577
Vivaldi,13.756,-85.956,205.365
 ,-2.842,-66.676,205.348
Monet,44.406,-9.776,205.186
 ,-44.466,90.184,205.035
 ,74.086,28.490,204.409
Bach,-69.799,-103.436,203.732
 ,59.692,-44.558,202.486
 ,-59.819,109.009,201.640
 ,11.566,-44.019,200.947
 ,-18.759,-138.766,200.770
 ,6.485,-31.045,200.636
Chekhov,-36.384,-61.286,200.469
Wren,24.691,-36.063,199.811
 ,10.321,88.689,199.726
 ,-14.892,-63.772,199.692
Ellington,-12.948,26.305,199.653
 ,64.225,23.360,198.744
Cervantes,-76.052,-123.900,198.174
 ,26.525,-99.915,197.494
 ,-46.998,-57.968,196.578
 ,8.320,81.998,195.823
 ,-4.732,-175.776,193.422
 ,14.124,103.284,192.819
 ,10.606,12.888,192.790
 ,25.107,97.407,192.273
 ,7.246,-54.226,192.195
Milton,-26.287,-175.086,191.506
 ,-82.942,3.602,191.503
 ,-22.588,93.914,190.766
 ,-49.630,-96.586,189.325
 ,24.457,-64.916,188.977
 ,39.085,91.648,188.954
Strindberg,53.193,-136.586,188.706
 ,59.282,-164.680,188.372
Caravaggio,3.207,87.014,187.490
