LONGITUDE_CIRCLE,LATITUDE_CIRCLE,DIAM_CIRCLE
67.50,44.94,5003.32
-66.88,-15.26,5004.53
145.72,-6.49,5010.09
4.83,38.02,5010.14
-129.67,15.88,5010.77
-140.40,-32.01,5011.36
173.01,39.65,5011.51
-131.01,52.08,5016.90
-10.78,37.62,5017.60
26.60,10.04,5017.95
-61.75,-11.65,5020.29
-134.11,34.44,5020.30
24.08,30.27,5021.35
98.65,32.69,5023.30
57.31,18.37,5026.19
167.89,32.04,5027.88
-20.03,30.39,5027.93
-87.57,-32.66,5028.59
155.40,66.53,5030.56
160.31,2.94,5033.29
-171.65,56.51,5033.95
99.57,39.37,5037.81
154.32,16.30,5038.21
75.40,-21.08,5040.63
144.02,39.96,5041.05
-163.83,5.33,5041.78
82.38,-5.87,5046.84
-82.63,-12.45,5048.98
-109.09,22.87,5050.35
98.29,52.12,5050.38
-12.36,33.27,5050.71
-111.12,35.50,5052.25
116.09,19.34,5054.01
96.72,-17.19,5055.04
-12.77,29.93,5062.24
1.13,55.26,5064.02
-36.79,15.64,5064.24
109.51,46.39,5067.37
-126.11,35.33,5070.04
-159.27,14.49,5070.19
49.92,58.06,5071.37
-64.67,41.27,5076.14
-2.46,-35.97,5080.11
-4.61,33.63,5080.55
-155.18,25.86,5081.45
-148.89,46.32,5084.27
-31.74,46.07,5086.11
-68.77,-1.67,5086.20
83.65,3.01,5086.54
-31.06,74.44,5089.34
-151.84,-10.92,5090.83
-174.28,39.23,5090.95
124.28,31.37,5092.30
-5.49,48.40,5095.13
145.93,36.36,5096.87
-123.52,23.71,5097.09
96.45,27.20,5097.74
-1.90,58.99,5097.94
59.89,25.37,5104.96
153.14,-35.90,5111.88
124.95,6.10,5112.93
117.43,49.24,5113.56
34.68,33.21,5118.00
138.79,11.16,5121.76
-60.02,15.02,5122.81
12.11,10.31,5122.86
98.38,63.77,5124.04
161.27,12.91,5124.23
-122.69,45.35,5124.69
-1.57,56.74,5125.46
-106.23,41.35,5129.30
-67.76,22.43,5131.30
125.68,8.34,5134.99
-33.24,26.90,5136.50
58.39,1.01,5144.98
122.90,-31.70,5145.67
-118.74,-32.79,5146.33
52.83,1.37,5148.89
52.47,12.93,5151.23
-127.62,-72.73,5152.46
-81.59,42.55,5152.93
-165.51,33.01,5153.65
65.42,20.43,5153.69
116.81,66.88,5155.82
172.79,64.95,5158.61
124.39,68.02,5159.54
-124.76,17.53,5161.33
-135.44,13.67,5162.49
44.24,-2.20,5166.55
-145.51,-13.23,5168.47
-159.51,5.99,5169.69
127.02,10.52,5171.51
102.54,-46.81,5172.76
133.48,66.49,5172.84
-88.87,47.42,5175.46
169.59,2.43,5175.88
124.85,9.98,5176.74
116.94,35.66,5178.26
68.82,16.44,5180.40
18.64,7.27,5180.77
17.75,49.74,5180.81
25.56,35.60,5192.57
5.42,-47.74,5195.45
161.72,-6.08,5196.50
82.45,23.35,5200.23
172.76,-12.82,5200.66
143.36,18.52,5203.11
107.51,-17.43,5204.84
-174.78,79.45,5210.55
-54.15,3.78,5212.10
-32.98,-26.52,5214.62
-168.91,34.94,5220.55
138.50,19.77,5222.06
7.28,41.50,5223.18
51.67,-34.31,5224.34
-55.60,-3.22,5224.97
144.74,-7.64,5228.63
1.80,-20.73,5229.35
-140.97,-23.55,5233.33
